aÑo,mes,conglome,vivienda,hogar,codperso,codinfor,ubigeo,dominio,estrato,p1_01,p1_02,p1_03,p1_04,p1_05,p1_06,p1_07,p1_08,p1_09,p1_10,p1_11,p1_12,p1_13,p1_14,p1_15,p1_16,p1_17,p1_18,p1_19,p1_20,p1_21,p2_1_01,p2_1_02,p2_1_03,p2_1_04,p2_1_05,p2_1_06,p2_1_07,p2_1_08,p2_1_09,p2_1_10,p2_1_11,p2_1_12,p2_1_13,p2_1_14,p2_1_15,p2_1_16,p2_1_17,p2_2_01,p2_2_02,p2_2_03,p2_2_04,p2_2_05,p2_2_06,p2_2_07,p2_2_08,p2_2_09,p2_2_10,p2_2_11,p2_2_12,p2_2_13,p2_2_14,p2_2_15,p2_2_16,p2_2_17,p2a1_1,p2a1_2,p2a1_3,p2a1_4,p2b_01,p2b_02,p2b_03,p2b_04,p2b_05,p2b_06,p2b_07,p2b_08,p2b_09,p2b_10,p2b_11,p2b_12,p2b_13,p2b_14,p2b_15,p2b_16,p2b_17,p2c_01,p2c_02,p2c_03,p2c_04,p2c_05,p2c_06,p2c_07,p2c_08,p2c_09,p2c_10,p2c_11,p2c_12,p2c_13,p2c_14,p2c_15,p2c_16,p2c_17,p2d_01,p2d_02,p2d_03,p2d_04,p2d_05,p2d_06,p2d_07,p2d_08,p2d_09,p2d_10,p2d_11,p2d_12,p2d_13,p2d_14,p2d_15,p2d_16,p2d_17,p2e_01,p2e_02,p2e_03,p2e_04,p2e_05,p2e_06,p2e_07,p2e_08,p2e_09,p2e_10,p2e_11,p2e_12,p2e_13,p2e_14,p2e_15,p2e_16,p2e_17,p2f_01,p2f_02,p2f_03,p2f_04,p2f_05,p2f_06,p2f_07,p2f_08,p2f_09,p2f_10,p2f_11,p2f_12,p2f_13,p2f_14,p2f_15,p2f_16,p2f_17,p3,p4,p5_1,p5_2,p5_3,p5_4,p5_5,p6,p7,p8_1,p8_2,p8_3,p8_4,p9,p10_1,p10_2,p10_3,p10_4,p21,p22_1_01,p22a_1_01,p22a_2_01,p22a_3_01,p22a_4_01,p22a_5_01,p22a_6_01,p22a_7_01,p22a_8_01,p22a_9_01,p22a_10_01,p22a_11_01,p22_1_02,p22a_1_02,p22a_2_02,p22a_3_02,p22a_4_02,p22a_5_02,p22a_6_02,p22a_7_02,p22a_8_02,p22a_9_02,p22a_10_02,p22a_11_02,p22_1_03,p22a_1_03,p22a_2_03,p22a_3_03,p22a_4_03,p22a_5_03,p22a_6_03,p22a_7_03,p22a_8_03,p22a_9_03,p22a_10_03,p22a_11_03,p22_1_04,p22a_1_04,p22a_2_04,p22a_3_04,p22a_4_04,p22a_5_04,p22a_6_04,p22a_7_04,p22a_8_04,p22a_9_04,p22a_10_04,p22a_11_04,p22_1_05,p22a_1_05,p22a_2_05,p22a_3_05,p22a_4_05,p22a_5_05,p22a_6_05,p22a_7_05,p22a_8_05,p22a_9_05,p22a_10_05,p22a_11_05,p22_1_06,p22a_1_06,p22a_2_06,p22a_3_06,p22a_4_06,p22a_5_06,p22a_6_06,p22a_7_06,p22a_8_06,p22a_9_06,p22a_10_06,p22a_11_06,p22_1_07,p22a_1_07,p22a_2_07,p22a_3_07,p22a_4_07,p22a_5_07,p22a_6_07,p22a_7_07,p22a_8_07,p22a_9_07,p22a_10_07,p22a_11_07,p22_1_08,p22a_1_08,p22a_2_08,p22a_3_08,p22a_4_08,p22a_5_08,p22a_6_08,p22a_7_08,p22a_8_08,p22a_9_08,p22a_10_08,p22a_11_08,p22_1_09,p22a_1_09,p22a_2_09,p22a_3_09,p22a_4_09,p22a_5_09,p22a_6_09,p22a_7_09,p22a_8_09,p22a_9_09,p22a_10_09,p22a_11_09,p22_1_10,p22a_1_10,p22a_2_10,p22a_3_10,p22a_4_10,p22a_5_10,p22a_6_10,p22a_7_10,p22a_8_10,p22a_9_10,p22a_10_10,p22a_11_10,p22_1_11,p22a_1_11,p22a_2_11,p22a_3_11,p22a_4_11,p22a_5_11,p22a_6_11,p22a_7_11,p22a_8_11,p22a_9_11,p22a_10_11,p22a_11_11,p22_1_12,p22a_1_12,p22a_2_12,p22a_3_12,p22a_4_12,p22a_5_12,p22a_6_12,p22a_7_12,p22a_8_12,p22a_9_12,p22a_10_12,p22a_11_12,p203_01,p204_01,p205_01,p206_01,p207_01,p208_01,p209_01,p301_01,ticuest01b,tipodecuestionario,factor
2021,03,017670,064,11,01,01,140301,1,3,2,2,3,2,2,1,1,1,1,2,2,1,2,3,3,3,2,2,2,3,2,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,16,0,1,,,,,,,,,3,,,,,,2,,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,,,,,,,,,,,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,1,5,0,0,0,4,0,2,2,1,0,0,0,1,5,5,5,5,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,1,2,,1,71,2,10,2,2,3156.99926757813
2021,03,017670,076,11,01,01,140301,1,3,1,1,2,1,1,2,2,1,1,2,1,1,1,2,2,2,1,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,,,,,,,,,,,,,,,2,,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,,,,,,,,,,,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,1,6,1,0,0,0,0,3,2,1,0,0,0,1,3,2,3,2,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,1,2,,1,67,4,10,2,2,1052.33312988281
2021,03,017670,089,11,02,02,140301,1,3,3,3,3,1,1,3,3,1,2,2,2,1,1,2,2,3,1,2,1,3,1,1,0,0,0,0,6,7,8,0,0,0,0,0,0,0,16,0,1,,,,,2,3,4,,,,,,,,5,,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,0,0,4,0,3,3,,,,,1,3,3,3,3,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,1,2,,1,31,1,7,2,2,3407.4072265625
2021,03,017677,006,11,02,02,140113,1,5,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,3,1,1,1,1,1,1,0,3,0,0,0,0,0,0,10,0,0,0,0,0,16,0,4,,2,,,,,,,3,,,,,,1,,3,4,3,3,1,2,2,1,2,2,2,2,2,2,2,1,2,1,1,2,2,4,,,4,,,,,,,,4,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,2,,2,2,,,2,,,,,,,3,2,0,0,3,0,1,2,1,1,5,3,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,1,2,,2,29,1,8,2,2,3281.20703125
2021,03,017677,018,11,01,01,140113,1,5,4,4,4,2,2,2,2,1,2,2,2,1,1,2,2,4,2,2,2,2,2,0,0,3,0,0,0,0,0,0,0,11,12,0,0,0,0,0,,,3,,,,,,,,2,1,,,,,,3,3,3,3,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,,,,,4,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,2,,,,,,,3,2,1,0,3,0,1,2,2,3,2,3,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,1,2,,1,50,1,4,2,2,2185.376953125
2021,03,017677,047,11,01,01,140113,1,5,4,4,4,1,1,2,2,1,2,4,2,1,1,2,3,1,2,2,2,2,2,1,0,3,0,0,0,0,0,0,10,11,0,0,0,0,0,0,4,,1,,,,,,,3,2,,,,,,,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,1,1,2,0,0,0,3,2,1,0,0,0,1,3,3,2,2,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,1,2,,1,74,2,6,2,2,2026.71557617188
2021,03,017677,058,11,01,01,140113,1,5,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,0,3,0,0,0,0,0,0,10,0,0,0,0,15,0,0,4,,2,,,,,,,3,,,,,1,,,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,,,,,,,,,,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,,,1,2,1,0,0,0,3,1,1,3,1,4,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,1,2,,1,38,5,6,2,2,1640.603515625
2021,03,017677,084,11,02,02,140113,1,5,4,4,4,1,1,2,2,1,2,4,2,1,2,1,2,1,2,3,2,2,2,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,,,1,,,,,,,2,,,,,,,,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1,2,3,4,0,3,2,1,2,0,0,1,2,2,3,2,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,3,1,2,,1,28,6,9,2,2,3281.20703125
2021,03,017677,113,11,01,01,140113,1,5,2,2,3,2,3,1,2,2,1,4,2,1,1,2,1,4,2,2,1,2,2,0,0,3,0,5,0,0,0,0,0,0,0,0,0,15,0,0,,,1,,3,,,,,,,,,,2,,,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,,,,,,,,,,,,,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,2,,,,,,,3,2,1,0,0,0,1,3,2,2,3,4,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,1,2,,2,38,5,4,2,2,1640.603515625
2021,03,017682,013,11,02,02,140118,1,4,2,2,3,2,1,3,2,2,2,3,3,1,1,2,2,2,2,2,2,2,2,1,0,3,0,0,0,0,0,0,10,0,0,0,0,15,0,0,4,,1,,,,,,,2,,,,,3,,,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,3,,,,,1,2,3,3,3,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,1,2,,2,67,2,6,2,2,2055.26098632813
2021,03,017682,027,12,01,01,140118,1,4,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,3,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,,,,,,,,,,,,,,,2,,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,2,0,0,0,3,2,1,0,3,0,1,3,2,3,2,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,0,0,0,0,5,0,0,0,0,0,0,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,1,2,,1,44,2,6,2,2,6654.84228515625
2021,03,017682,027,22,02,02,140118,1,4,1,1,2,1,1,1,1,1,1,2,2,1,1,1,2,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,0,2,,,,,,,,,,,,,,3,1,,3,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,5,1,0,0,0,0,3,2,1,0,3,0,1,2,1,3,1,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,1,2,,2,28,1,6,2,2,3327.42114257813
2021,03,017682,055,11,02,02,140118,1,4,2,2,2,2,2,2,2,2,2,2,3,1,2,2,3,4,2,2,2,3,2,1,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,,1,,,2,,,,,,,,,,,,3,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,2,1,0,0,0,1,3,3,3,3,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,11,1,2,,1,59,6,6,2,2,3324.2353515625
2021,03,017682,069,11,01,01,140118,1,4,2,2,2,1,1,2,3,2,2,2,2,1,2,3,2,3,2,2,2,2,2,1,0,3,0,0,0,0,0,0,0,11,0,0,0,15,0,0,4,,1,,,,,,,,2,,,,3,,,2,3,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,2,1,0,0,0,1,3,3,3,3,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,1,2,,1,62,2,6,2,2,2216.15673828125
2021,03,017682,084,11,02,02,140118,1,4,3,3,3,3,3,3,3,3,2,3,2,1,3,2,2,3,2,2,2,2,2,1,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,,1,,,,,,,2,,,,,,,,2,4,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,0,0,4,0,3,2,1,0,0,0,1,2,2,2,2,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,3,1,2,,1,27,6,6,2,2,4991.1318359375
2021,03,017682,098,12,02,02,140118,1,4,3,3,3,3,2,3,2,1,2,2,3,1,2,2,3,3,3,3,3,2,3,1,0,0,0,0,6,0,0,0,0,0,0,0,0,15,0,0,2,,,,,1,,,,,,,,,3,,,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,2,1,0,0,0,1,3,3,3,3,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,3,1,2,,2,56,5,6,2,2,2216.15673828125
2021,03,017682,098,22,01,01,140118,1,4,3,2,2,1,1,2,2,3,2,3,3,1,1,2,3,3,3,2,2,2,3,1,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,,1,,,,,,,2,,,,,,,,2,3,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,3,,,,,1,2,2,2,2,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,1,2,,1,30,1,6,2,2,3327.42114257813
2021,03,017736,005,11,02,02,140309,1,5,3,3,3,1,1,2,2,2,2,3,3,1,2,2,2,3,3,3,3,3,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,,1,,,,,,,,,,,,3,,,2,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,3,,,,,1,3,3,3,3,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,1,2,,2,61,1,6,2,2,4370.75439453125
2021,03,017736,017,11,01,01,140309,1,5,2,2,2,2,2,2,2,1,2,3,2,1,2,2,3,3,2,2,2,2,2,1,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,,1,,,,,,,2,,,,,,,,2,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,2,1,0,0,0,1,2,3,3,3,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,1,2,,1,60,1,5,2,2,4370.75439453125
2021,03,017736,043,11,01,01,140309,1,5,3,3,3,3,3,3,3,2,2,3,2,1,2,2,3,2,2,2,2,2,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,15,0,0,3,,1,,,,,,,,,,,,2,,,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,2,0,4,0,3,3,,,,,1,3,3,3,3,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,1,2,,1,59,1,6,2,2,2185.37719726563
2021,03,017736,055,11,01,01,140309,1,5,2,2,3,2,1,2,3,2,2,3,2,2,2,2,2,3,2,2,3,2,2,0,0,0,0,0,0,0,0,0,0,11,0,0,0,15,0,0,,,,,,,,,,,2,,,,1,,,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,2,1,0,0,0,1,3,3,2,3,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,1,2,,2,26,1,8,2,2,3281.20727539063
2021,03,017736,070,11,01,01,140309,1,5,3,3,3,2,2,4,2,3,3,3,3,1,2,2,2,3,3,3,3,3,3,1,0,3,0,0,6,0,0,0,10,0,0,0,0,15,0,0,5,,1,,,2,,,,3,,,,,4,,,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,0,0,4,0,3,3,,,,,1,3,3,3,4,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,1,2,,2,34,5,8,2,2,1640.60363769531
2021,03,017736,083,12,02,02,140309,1,5,2,2,3,2,1,3,2,2,2,2,2,3,2,3,3,3,2,2,3,2,3,1,0,3,0,0,6,0,0,0,0,0,0,0,0,15,0,0,4,,1,,,2,,,,,,,,,3,,,2,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,2,1,0,0,0,1,3,3,3,3,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,1,2,,2,21,1,9,2,2,3632.216796875
2021,03,017736,083,22,01,01,140309,1,5,2,3,3,1,1,2,3,1,2,3,3,1,1,2,2,3,2,2,2,2,3,1,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,,1,,,,,,,2,,,,,,,,2,3,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,2,1,0,0,0,1,3,3,3,3,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,1,2,,2,28,2,9,2,2,3281.20727539063
2021,03,017739,009,11,01,01,140305,1,5,1,2,3,1,2,3,3,1,2,3,2,1,1,1,2,3,1,2,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,,,,,,,,,,,,,,,1,,,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,3,2,1,0,0,0,1,5,2,3,3,4,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,1,2,,2,78,3,1,2,2,2055.26098632813
2021,03,017739,031,11,02,02,140305,1,5,1,1,2,2,2,2,2,1,1,2,1,1,1,1,2,1,1,1,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,,,,,,,,,,,,,,,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,0,3,4,0,4,2,1,2,3,0,1,2,2,3,1,4,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,1,2,,2,44,2,6,2,2,3327.42163085938
